HITId	WorkerId	src	trg	item	hit work-seconds	accept	submit	approval
3RKHNXPHGWS1PA1FGXW8SK2UW8EUKG	F0006	en	es	ad	10	3901	"Wed Nov 23 04:58:49 2016"	"Wed Nov 23 06:03:50 2016"	Rejected
3RKHNXPHGWS1PA1FGXW8SK2UW8EUKG	F0042	en	es	ad	10	1289	"Wed Nov 23 02:05:28 2016"	"Wed Nov 23 02:26:57 2016"	Approved
3O0M2G5VC6YIRGO9XUE1P7QKM1F94F	F0025	en	es	ad	11	492	"Wed Nov 23 08:41:06 2016"	"Wed Nov 23 08:49:18 2016"	Rejected
3O0M2G5VC6YIRGO9XUE1P7QKM1F94F	F0043	en	es	ad	11	4858	"Wed Nov 23 10:19:50 2016"	"Wed Nov 23 11:40:48 2016"	Submitted
3O0M2G5VC6YIRGO9XUE1P7QKM1F94F	F0001	en	es	ad	11	920	"Wed Nov 23 08:07:43 2016"	"Wed Nov 23 08:23:03 2016"	Rejected
3O0M2G5VC6YIRGO9XUE1P7QKM1F94F	F0039	en	es	ad	11	917	"Wed Nov 23 10:52:52 2016"	"Wed Nov 23 11:08:09 2016"	Submitted
3O0M2G5VC6YIRGO9XUE1P7QKM1F94F	F0037	en	es	ad	11	3558	"Wed Nov 23 06:12:25 2016"	"Wed Nov 23 07:11:43 2016"	Approved
3O0M2G5VC6YIRGO9XUE1P7QKM1F94F	F0034	en	es	ad	11	1801	"Wed Nov 23 07:21:52 2016"	"Wed Nov 23 07:51:53 2016"	Approved
33W1NHWFYHHHESLCGT98A345H3KZTG	F0004	en	es	ad	12	2842	"Wed Nov 23 09:19:14 2016"	"Wed Nov 23 10:06:36 2016"	Submitted
33W1NHWFYHHHESLCGT98A345H3KZTG	F0025	en	es	ad	12	415	"Wed Nov 23 08:17:01 2016"	"Wed Nov 23 08:23:56 2016"	Rejected
33W1NHWFYHHHESLCGT98A345H3KZTG	F0003	en	es	ad	12	3065	"Wed Nov 23 07:26:55 2016"	"Wed Nov 23 08:18:00 2016"	Rejected
33W1NHWFYHHHESLCGT98A345H3KZTG	F0036	en	es	ad	12	832	"Wed Nov 23 07:32:17 2016"	"Wed Nov 23 07:46:09 2016"	Rejected
33W1NHWFYHHHESLCGT98A345H3KZTG	F0031	en	es	ad	12	1570	"Wed Nov 23 11:12:31 2016"	"Wed Nov 23 11:38:41 2016"	Submitted
33W1NHWFYHHHESLCGT98A345H3KZTG	F0013	en	es	ad	12	4709	"Wed Nov 23 14:46:08 2016"	"Wed Nov 23 16:04:37 2016"	Submitted
33W1NHWFYHHHESLCGT98A345H3KZTG	F0021	en	es	ad	12	1698	"Wed Nov 23 10:34:52 2016"	"Wed Nov 23 11:03:10 2016"	Submitted
3GL25Y6843QOW2VD6EKBR4T2FVQXMG	F0021	en	es	ad	13	1974	"Wed Nov 23 09:32:36 2016"	"Wed Nov 23 10:05:30 2016"	Submitted
3GL25Y6843QOW2VD6EKBR4T2FVQXMG	F0015	en	es	ad	13	4326	"Wed Nov 23 05:02:36 2016"	"Wed Nov 23 06:14:42 2016"	Approved
3GL25Y6843QOW2VD6EKBR4T2FVQXMG	F0039	en	es	ad	13	2293	"Wed Nov 23 09:32:49 2016"	"Wed Nov 23 10:11:02 2016"	Submitted
3GL25Y6843QOW2VD6EKBR4T2FVQXMG	F0037	en	es	ad	13	4082	"Wed Nov 23 10:13:23 2016"	"Wed Nov 23 11:21:25 2016"	Submitted
3GL25Y6843QOW2VD6EKBR4T2FVQXMG	F0003	en	es	ad	13	3945	"Wed Nov 23 07:27:12 2016"	"Wed Nov 23 08:32:57 2016"	Rejected
3BAKUKE49H873HNC4TVLIUJBG3B1RH	F0021	en	es	ad	14	1902	"Wed Nov 23 08:07:37 2016"	"Wed Nov 23 08:39:19 2016"	Approved
3BAKUKE49H873HNC4TVLIUJBG3B1RH	F0031	en	es	ad	14	1139	"Wed Nov 23 09:02:00 2016"	"Wed Nov 23 09:20:59 2016"	Submitted
3BAKUKE49H873HNC4TVLIUJBG3B1RH	F0027	en	es	ad	14	4852	"Wed Nov 23 07:35:11 2016"	"Wed Nov 23 08:56:03 2016"	Approved
3BAKUKE49H873HNC4TVLIUJBG3B1RH	F0012	en	es	ad	14	2196	"Wed Nov 23 02:29:22 2016"	"Wed Nov 23 03:05:58 2016"	Approved
3BAKUKE49H873HNC4TVLIUJBG3B1RH	F0003	en	es	ad	14	2700	"Wed Nov 23 07:26:48 2016"	"Wed Nov 23 08:11:48 2016"	Rejected
3XUY87HIVPAD2QW9S7I2GND48R6MML	F0027	en	es	ad	15	1277	"Wed Nov 23 10:41:11 2016"	"Wed Nov 23 11:02:28 2016"	Submitted
3XUY87HIVPAD2QW9S7I2GND48R6MML	F0003	en	es	ad	15	3410	"Wed Nov 23 07:26:59 2016"	"Wed Nov 23 08:23:49 2016"	Rejected
